Iteration;Tag;Start;Ende;Aktualisierungsdauer in Sekunden
1;13.09.2025;02:00:02;02:34:40;2077
2;13.09.2025;03:00:03;03:34:53;2090
3;13.09.2025;04:00:03;04:15:26;922
4;13.09.2025;05:00:03;05:12:16;733
5;13.09.2025;06:00:02;06:12:25;742
6;13.09.2025;07:00:02;07:12:24;742
7;13.09.2025;08:00:03;08:12:42;759
8;13.09.2025;09:00:03;09:12:33;750
9;13.09.2025;10:00:03;10:12:48;765
10;13.09.2025;11:00:02;11:12:41;758
11;13.09.2025;12:00:03;12:12:46;762
12;13.09.2025;13:00:03;13:12:40;756
13;13.09.2025;14:00:02;14:12:27;744
14;13.09.2025;15:00:03;15:12:35;751
15;13.09.2025;16:00:02;16:12:22;740
16;13.09.2025;17:00:02;17:12:56;773
17;13.09.2025;18:00:02;18:12:34;751
18;13.09.2025;19:00:03;19:12:57;774
19;13.09.2025;20:00:02;20:12:24;742
20;13.09.2025;21:00:03;21:13:08;785
21;13.09.2025;22:00:02;22:12:39;757
22;13.09.2025;23:00:03;23:12:37;754
23;14.09.2025;00:00:22;00:11:28;665
24;14.09.2025;01:00:03;01:11:17;674
25;14.09.2025;04:00:03;13:39:47;34784
26;14.09.2025;02:00:02;13:39:54;41991
27;14.09.2025;14:00:03;14:13:08;784
28;14.09.2025;15:00:03;15:13:14;791
29;14.09.2025;17:00:02;17:13:01;778
30;14.09.2025;18:00:03;18:25:39;1536
31;14.09.2025;18:05:36;18:28:01;1345
32;14.09.2025;19:00:03;19:27:00;1616
33;14.09.2025;20:00:03;20:10:54;650
34;14.09.2025;22:00:01;22:12:49;767
